spec_id,column,DDF_unit,inverse,show,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
,0,,0,1,5369,,"Pesticides GC-MS/MS, QuEChERS",perfect,green,=,not detectable,OR,=,nicht nachw.,,,
,0,,0,1,5369,,"Pesticides GC-MS/MS, QuEChERS",not OK,red,>,0,,,,,,
,0,,0,1,5370,,"Pesticides LC-MS/MS, QuEChERS",perfect,green,=,not detectable,OR,=,nicht nachw.,,,
,0,,0,1,5370,,"Pesticides LC-MS/MS, QuEChERS",not OK,red,>,0,,,,,,
,0,,0,1,10499,,"1,4-Dimethylnaphthalene",perfect,green,<=,0.01,,,,,,
,0,,0,1,10499,,"1,4-Dimethylnaphthalene",not OK,red,>,0.01,,,,,,
,0,,0,1,10501,,"2,3,4,5-Tetrachloroanisole",perfect,green,<=,0.01,,,,,,
,0,,0,1,10501,,"2,3,4,5-Tetrachloroanisole",not OK,red,>,0.01,,,,,,
,0,,0,1,10502,,"2,3,5,6-Tetrachloroaniline",perfect,green,<,0.01,,,,,,
,0,,0,1,10503,,Benalaxyl,perfect,green,<,0.01,,,,,,
,0,,0,1,10504,,"2,4,6-Trichloroanisole",perfect,green,<,0.01,,,,,,
,0,,0,1,10505,,Bendiocarb,perfect,green,<,0.01,,,,,,
,0,,0,1,10506,,4-Bromophenylurea,perfect,green,<,0.01,,,,,,
,0,,0,1,10507,,Benfluralin,perfect,green,<,0.01,,,,,,
,0,,0,1,10508,,Abamectin,perfect,green,<,0.01,,,,,,
,0,,0,1,10509,,Benfuracarb,perfect,green,<,0.01,,,,,,
,0,,0,1,10510,,Acephate,perfect,green,<,0.01,,,,,,
,0,,0,1,10511,,Benodanil,perfect,green,<,0.01,,,,,,
,0,,0,1,10512,,Acetamiprid,perfect,green,<,0.01,,,,,,
,0,,0,1,10513,,Benomyl,perfect,green,<,0.01,,,,,,
,0,,0,1,10514,,Acetochlor,perfect,green,<,0.01,,,,,,
,0,,0,1,10515,,Benoxacor,perfect,green,<,0.01,,,,,,
,0,,0,1,10516,,Acibenzolar-S-Methyl,perfect,green,<,0.01,,,,,,
,0,,0,1,10517,,Bensulfuron-methyl,perfect,green,<,0.01,,,,,,
,0,,0,1,10518,,Aclonifen,perfect,green,<,0.01,,,,,,
,0,,0,1,10519,,Benthiavalicarb isopropyl,perfect,green,<,0.01,,,,,,
,0,,0,1,10520,,Acrinathrin,perfect,green,<,0.01,,,,,,
,0,,0,1,10521,,Benzalkonium chloride - C10,perfect,green,<,0.01,,,,,,
,0,,0,1,10522,,Alachlor,perfect,green,<,0.01,,,,,,
,0,,0,1,10523,,Aldicarb,perfect,green,<,0.01,,,,,,
,0,,0,1,10524,,Benzalkonium chloride - C12,perfect,green,<,0.01,,,,,,
,0,,0,1,10525,,Aldicarb sulfone,perfect,green,<,0.01,,,,,,
,0,,0,1,10526,,Benzalkonium chloride - C14,perfect,green,<,0.01,,,,,,
